year,month,day,hour,Prijs
2013,1,16,0,0.05001
2013,1,16,1,0.05038
2013,1,16,2,0.04877
2013,1,16,3,0.04434
2013,1,16,4,0.042
2013,1,16,5,0.04182
2013,1,16,6,0.0519
2013,1,16,7,0.06285
2013,1,16,8,0.0682
2013,1,16,9,0.07698
2013,1,16,10,0.07407
2013,1,16,11,0.07068
2013,1,16,12,0.06774
2013,1,16,13,0.06498
2013,1,16,14,0.06004
2013,1,16,15,0.05798
2013,1,16,16,0.05892
2013,1,16,17,0.06993
2013,1,16,18,0.06152
2013,1,16,19,0.05793
2013,1,16,20,0.05563
2013,1,16,21,0.05238
2013,1,16,22,0.04993
2013,1,16,23,0.05038
2013,1,17,0,0.05
2013,1,17,1,0.05
2013,1,17,2,0.04901
2013,1,17,3,0.04684
2013,1,17,4,0.04503
2013,1,17,5,0.0441
2013,1,17,6,0.04906
2013,1,17,7,0.06158
2013,1,17,8,0.06242
2013,1,17,9,0.05992
2013,1,17,10,0.05814
2013,1,17,11,0.06
2013,1,17,12,0.05852
2013,1,17,13,0.06262
2013,1,17,14,0.06191
2013,1,17,15,0.06195
2013,1,17,16,0.0623
2013,1,17,17,0.07283
2013,1,17,18,0.08607
2013,1,17,19,0.06277
2013,1,17,20,0.05797
2013,1,17,21,0.05993
2013,1,17,22,0.06028
2013,1,17,23,0.05035
2013,1,18,0,0.05167
2013,1,18,1,0.05084
2013,1,18,2,0.04939
2013,1,18,3,0.04611
2013,1,18,4,0.04039
2013,1,18,5,0.04047
2013,1,18,6,0.04725
2013,1,18,7,0.06244
2013,1,18,8,0.06656
2013,1,18,9,0.0719
2013,1,18,10,0.06932
2013,1,18,11,0.06772
2013,1,18,12,0.06612
2013,1,18,13,0.06081
2013,1,18,14,0.0612
2013,1,18,15,0.05395
2013,1,18,16,0.05592
2013,1,18,17,0.0654
2013,1,18,18,0.0569
2013,1,18,19,0.05505
2013,1,18,20,0.06192
2013,1,18,21,0.06074
2013,1,18,22,0.05439
2013,1,18,23,0.05249
2013,1,19,0,0.05051
2013,1,19,1,0.04744
2013,1,19,2,0.04575
2013,1,19,3,0.04
2013,1,19,4,0.03895
2013,1,19,5,0.03789
2013,1,19,6,0.038
2013,1,19,7,0.04744
2013,1,19,8,0.04512
2013,1,19,9,0.05783
2013,1,19,10,0.0618
2013,1,19,11,0.06506
2013,1,19,12,0.06312
2013,1,19,13,0.0612
2013,1,19,14,0.05905
2013,1,19,15,0.05243
2013,1,19,16,0.05026
2013,1,19,17,0.06
2013,1,19,18,0.06493
2013,1,19,19,0.063
2013,1,19,20,0.05438
2013,1,19,21,0.05062
2013,1,19,22,0.05
2013,1,19,23,0.04744
2013,1,20,0,0.04588
2013,1,20,1,0.04494
2013,1,20,2,0.04423
2013,1,20,3,0.03189
2013,1,20,4,0.03702
2013,1,20,5,0.03352
2013,1,20,6,0.03236
2013,1,20,7,0.02907
2013,1,20,8,0.03582
2013,1,20,9,0.04347
2013,1,20,10,0.04991
2013,1,20,11,0.05779
2013,1,20,12,0.06357
2013,1,20,13,0.05494
2013,1,20,14,0.04994
2013,1,20,15,0.04807
2013,1,20,16,0.04757
2013,1,20,17,0.05994
2013,1,20,18,0.06716
2013,1,20,19,0.0677
2013,1,20,20,0.06127
2013,1,20,21,0.04994
2013,1,20,22,0.045
2013,1,20,23,0.03825
2013,1,21,0,0.03831
2013,1,21,1,0.03833
2013,1,21,2,0.03785
2013,1,21,3,0.03783
2013,1,21,4,0.03708
2013,1,21,5,0.03723
2013,1,21,6,0.04045
2013,1,21,7,0.05604
2013,1,21,8,0.05608
2013,1,21,9,0.06056
2013,1,21,10,0.06472
